DATE_TIME,STATION,TOTAL_TRAFFIC
2017-03-10 16:00:00,34 ST-HERALD SQ,82986.5
2017-04-04 16:00:00,GRD CNTRL-42 ST,82965.55357142666
2017-03-06 16:00:00,34 ST-HERALD SQ,82770.0
2017-04-26 08:00:00,34 ST-PENN STA,82635.91666682434
2017-04-21 16:00:00,GRD CNTRL-42 ST,82545.25000000023
2017-03-27 08:00:00,34 ST-PENN STA,82514.5
2017-04-18 16:00:00,GRD CNTRL-42 ST,82484.75
2017-03-01 16:00:00,34 ST-HERALD SQ,82393.0
2017-03-16 16:00:00,34 ST-HERALD SQ,82272.5
2017-05-09 16:00:00,GRD CNTRL-42 ST,82171.89290399535
2017-05-05 16:00:00,GRD CNTRL-42 ST,82127.5
2017-05-02 16:00:00,GRD CNTRL-42 ST,82111.83333333395
2017-03-02 08:00:00,GRD CNTRL-42 ST,82103.8
2017-05-31 16:00:00,GRD CNTRL-42 ST,82094.0
2017-05-23 16:00:00,GRD CNTRL-42 ST,81840.5399628192
2017-03-08 08:00:00,GRD CNTRL-42 ST,81830.1
2017-05-12 16:00:00,34 ST-HERALD SQ,81818.70454545692
2017-05-10 16:00:00,GRD CNTRL-42 ST,81661.04290399511
2017-03-13 08:00:00,34 ST-PENN STA,81655.0
2017-04-19 16:00:00,34 ST-HERALD SQ,81453.375
2017-04-26 16:00:00,GRD CNTRL-42 ST,81423.94999999837
2017-04-03 16:00:00,GRD CNTRL-42 ST,81270.30357142747
2017-05-08 16:00:00,GRD CNTRL-42 ST,81137.6929039954
2017-05-17 08:00:00,34 ST-PENN STA,81084.76374570446
2017-05-04 16:00:00,34 ST-HERALD SQ,80998.0
2017-03-28 08:00:00,34 ST-PENN STA,80994.75
2017-03-01 08:00:00,GRD CNTRL-42 ST,80991.8
2017-05-18 08:00:00,34 ST-PENN STA,80820.20962199314
2017-04-10 16:00:00,GRD CNTRL-42 ST,80706.80357142747
2017-03-09 08:00:00,GRD CNTRL-42 ST,80688.6
2017-04-20 16:00:00,34 ST-PENN STA,80639.98493505901
2017-05-16 08:00:00,34 ST-PENN STA,80607.9428694158
2017-04-27 16:00:00,GRD CNTRL-42 ST,80602.90000000116
