DATE_TIME,STATION,TOTAL_TRAFFIC,date,time
5/3/17 16:00,GRD CNTRL-42 ST,84670.91463,5/3/17,16:00:00
3/30/17 16:00,GRD CNTRL-42 ST,84662.30357,3/30/17,16:00:00
5/1/17 16:00,34 ST-PENN STA,84659.10653,5/1/17,16:00:00
3/17/17 16:00,GRD CNTRL-42 ST,84656.00503,3/17/17,16:00:00
3/17/17 16:00,34 ST-HERALD SQ,84561.25,3/17/17,16:00:00
3/16/17 8:00,34 ST-PENN STA,84525.25,3/16/17,8:00:00
4/5/17 16:00,34 ST-PENN STA,84523.25,4/5/17,16:00:00
3/7/17 8:00,GRD CNTRL-42 ST,84477.85,3/7/17,8:00:00
5/17/17 16:00,GRD CNTRL-42 ST,84208.1929,5/17/17,16:00:00
5/25/17 8:00,34 ST-PENN STA,83971,5/25/17,8:00:00
4/17/17 16:00,34 ST-PENN STA,83847.89703,4/17/17,16:00:00
3/2/17 16:00,34 ST-HERALD SQ,83816,3/2/17,16:00:00
4/13/17 16:00,34 ST-HERALD SQ,83667.625,4/13/17,16:00:00
4/21/17 16:00,34 ST-PENN STA,83626.55,4/21/17,16:00:00
3/10/17 8:00,34 ST-PENN STA,83447,3/10/17,8:00:00
3/3/17 8:00,34 ST-PENN STA,83410,3/3/17,8:00:00
3/29/17 16:00,GRD CNTRL-42 ST,83280.5,3/29/17,16:00:00
3/7/17 16:00,34 ST-HERALD SQ,83236,3/7/17,16:00:00
4/7/17 16:00,GRD CNTRL-42 ST,83063.67857,4/7/17,16:00:00
5/24/17 16:00,GRD CNTRL-42 ST,83027.42568,5/24/17,16:00:00
3/10/17 16:00,34 ST-HERALD SQ,82986.5,3/10/17,16:00:00
4/4/17 16:00,GRD CNTRL-42 ST,82965.55357,4/4/17,16:00:00
3/6/17 16:00,34 ST-HERALD SQ,82770,3/6/17,16:00:00
4/26/17 8:00,34 ST-PENN STA,82635.91667,4/26/17,8:00:00
4/21/17 16:00,GRD CNTRL-42 ST,82545.25,4/21/17,16:00:00
3/27/17 8:00,34 ST-PENN STA,82514.5,3/27/17,8:00:00
4/18/17 16:00,GRD CNTRL-42 ST,82484.75,4/18/17,16:00:00
3/1/17 16:00,34 ST-HERALD SQ,82393,3/1/17,16:00:00
3/16/17 16:00,34 ST-HERALD SQ,82272.5,3/16/17,16:00:00
5/9/17 16:00,GRD CNTRL-42 ST,82171.8929,5/9/17,16:00:00
5/5/17 16:00,GRD CNTRL-42 ST,82127.5,5/5/17,16:00:00
5/2/17 16:00,GRD CNTRL-42 ST,82111.83333,5/2/17,16:00:00
